Airport ID,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ database timezone,Type,Source
Thorshofn Airport,Thorshofn,Iceland,THO,BITN,66.21849822998047,-15.335599899291992,65,0,N,Atlantic/Reykjavik,airport,OurAirports
Vopnafjörður Airport,Vopnafjörður,Iceland,VPN,BIVO,65.72059631347656,-14.850600242614746,16,0,N,Atlantic/Reykjavik,airport,OurAirports
Whistler/Green Lake Water Aerodrome,Whistler,Canada,YWS,CAE5,50.1436004639,-122.948997498,2100,-8,A,America/Vancouver,airport,OurAirports
Anahim Lake Airport,Anahim Lake,Canada,YAA,CAJ4,52.45249938964844,-125.3030014038086,3635,-8,A,America/Vancouver,airport,OurAirports
Williams Harbour Airport,Williams Harbour,Canada,YWM,CCA6,52.56689834594727,-55.784698486328125,70,-3.5,A,America/St_Johns,airport,OurAirports
St. Lewis (Fox Harbour) Airport,St. Lewis,Canada,YFX,CCK4,52.37279891967773,-55.67390060424805,74,-3.5,A,America/St_Johns,airport,OurAirports
Port Hope Simpson Airport,Port Hope Simpson,Canada,YHA,CCP4,52.528099060058594,-56.28609848022461,347,-3.5,A,America/St_Johns,airport,OurAirports
Rigolet Airport,Rigolet,Canada,YRG,CCZ2,54.1796989440918,-58.45750045776367,180,-4,A,America/Halifax,airport,OurAirports
Colville Lake Airport,Colville Lake,Canada,YCK,CEB3,67.0392,-126.08,850,-7,A,America/Edmonton,airport,OurAirports
Whatì Airport,Whatì,Canada,YLE,CEM3,63.13169860839844,-117.24600219726562,882,-7,A,America/Edmonton,airport,OurAirports
Summer Beaver Airport,Summer Beaver,Canada,SUR,CJV7,52.70859909057617,-88.54190063476562,832,-5,A,America/Toronto,airport,OurAirports
Wapekeka Airport,Angling Lake,Canada,YAX,CKB6,53.84920120239258,-89.57939910888672,712,-6,A,America/Winnipeg,airport,OurAirports
Wunnumin Lake Airport,Wunnumin Lake,Canada,WNN,CKL3,52.89390182495117,-89.28919982910156,819,-5,A,America/Toronto,airport,OurAirports
North Spirit Lake Airport,North Spirit Lake,Canada,YNO,CKQ3,52.4900016784668,-92.97109985351562,1082,-6,A,America/Winnipeg,airport,OurAirports
Bearskin Lake Airport,Bearskin Lake,Canada,XBE,CNE3,53.965599060058594,-91.0271987915039,800,-6,A,America/Winnipeg,airport,OurAirports
Kingfisher Lake Airport,Kingfisher Lake,Canada,KIF,CNM5,53.01250076293945,-89.85530090332031,866,-5,A,America/Toronto,airport,OurAirports
Ogoki Post Airport,Ogoki Post,Canada,YOG,CNT3,51.6585998535,-85.9017028809,594,-5,A,America/Toronto,airport,OurAirports
Poplar Hill Airport,Poplar Hill,Canada,YHP,CPV7,52.1133,-94.2556,1095,-6,A,America/Winnipeg,airport,OurAirports
Chisasibi Airport,Chisasibi,Canada,YKU,CSU2,53.80559921264648,-78.91690063476562,43,-5,A,America/Toronto,airport,OurAirports
Tête-à-la-Baleine Airport,Tête-à-la-Baleine,Canada,ZTB,CTB6,50.67440032958984,-59.38359832763672,107,-4,A,America/Blanc-Sablon,airport,OurAirports
La Tabatière Airport,La Tabatière,Canada,ZLT,CTU5,50.8307991027832,-58.97560119628906,102,-4,A,America/Blanc-Sablon,airport,OurAirports
Cat Lake Airport,Cat Lake,Canada,YAC,CYAC,51.72719955444336,-91.82440185546876,1344,-6,A,America/Winnipeg,airport,OurAirports
Fort Frances Municipal Airport,Fort Frances,Canada,YAG,CYAG,48.65420150756836,-93.439697265625,1125,-6,A,America/Winnipeg,airport,OurAirports
Kasabonika Airport,Kasabonika,Canada,XKS,CYAQ,53.52470016479492,-88.6427993774414,672,-5,A,America/Toronto,airport,OurAirports
Kangirsuk Airport,Kangirsuk,Canada,YKG,CYAS,60.02719879150391,-69.99919891357422,403,-5,A,America/Toronto,airport,OurAirports
Attawapiskat Airport,Attawapiskat,Canada,YAT,CYAT,52.9275016784668,-82.43190002441406,31,-5,A,America/Toronto,airport,OurAirports
Uranium City Airport,Uranium City,Canada,YBE,CYBE,59.5614013671875,-108.4810028076172,1044,-6,N,America/Regina,airport,OurAirports
Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,Canada,YBX,CYBX,51.4435997009,-57.1852989197,121,-4,A,America/Blanc-Sablon,airport,OurAirports
Cartwright Airport,Cartwright,Canada,YRF,CYCA,53.68280029296875,-57.041900634765625,40,-4,A,America/Halifax,airport,OurAirports
Chesterfield Inlet Airport,Chesterfield Inlet,Canada,YCS,CYCS,63.3469009399,-90.7311019897,32,-6,A,America/Winnipeg,airport,OurAirports
Nain Airport,Nain,Canada,YDP,CYDP,56.549198150634766,-61.680301666259766,22,-4,A,America/Halifax,airport,OurAirports
Fort Severn Airport,Fort Severn,Canada,YER,CYER,56.01890182495117,-87.67610168457031,48,-5,A,America/Toronto,airport,OurAirports
Fort Albany Airport,Fort Albany,Canada,YFA,CYFA,52.20140075683594,-81.6968994140625,48,-5,A,America/Toronto,airport,OurAirports
Fort Hope Airport,Fort Hope,Canada,YFH,CYFH,51.5619010925293,-87.90779876708984,899,-5,A,America/Toronto,airport,OurAirports
Makkovik Airport,Makkovik,Canada,YMN,CYFT,55.07690048217773,-59.1864013671875,234,-4,A,America/Halifax,airport,OurAirports
Texada Gillies Bay Airport,Texada,Canada,YGB,CYGB,49.69419860839844,-124.51799774169922,326,-8,A,America/Vancouver,airport,OurAirports
